###cas|pos|1.0###
SP-Wiki+M 	---	 SP-CC100 	---	 p-value :  0.0349 	---	 True
BPE-NACHOS 	---	 BPE-CC100 	---	 p-value :  0.1478 	---	 False



###deft2021|cls|1.0###
SP-NACHOS+M 	---	 SP-CC100 	---	 p-value :  0.6436 	---	 False
SP-NACHOS+M 	---	 SP-Wiki 	---	 p-value :  0.0107 	---	 True
SP-NACHOS+M 	---	 BPE-NACHOS 	---	 p-value :  0.1703 	---	 False
SP-NACHOS+M 	---	 BPE-NACHOS+M 	---	 p-value :  0.2418 	---	 False
SP-NACHOS+M 	---	 SP-NACHOS 	---	 p-value :  0.742 	---	 False
SP-NACHOS+M 	---	 BPE-Wiki+M 	---	 p-value :  0.1008 	---	 False
SP-NACHOS+M 	---	 SP-PubMed 	---	 p-value :  0.7646 	---	 False
SP-NACHOS+M 	---	 BPE-CC100+M 	---	 p-value :  0.563 	---	 False
SP-NACHOS+M 	---	 BPE-Wiki 	---	 p-value :  0.6735 	---	 False
SP-NACHOS+M 	---	 BPE-PubMed 	---	 p-value :  0.2365 	---	 False
SP-NACHOS+M 	---	 SP-CC100+M 	---	 p-value :  0.4932 	---	 False
SP-NACHOS+M 	---	 BPE-PubMed+M 	---	 p-value :  0.5011 	---	 False
SP-NACHOS+M 	---	 SP-PubMed+M 	---	 p-value :  0.9972 	---	 False
SP-NACHOS+M 	---	 SP-Wiki+M 	---	 p-value :  0.6095 	---	 False
SP-NACHOS+M 	---	 BPE-CC100 	---	 p-value :  0.8789 	---	 False



###deft2021|ner|1.0###
SP-NACHOS 	---	 SP-CC100 	---	 p-value :  0.0007 	---	 Very True
SP-NACHOS 	---	 SP-Wiki 	---	 p-value :  0.0012 	---	 Very True
SP-NACHOS 	---	 BPE-NACHOS 	---	 p-value :  0.0644 	---	 False
SP-NACHOS 	---	 BPE-NACHOS+M 	---	 p-value :  0.0062 	---	 Very True
SP-NACHOS 	---	 BPE-Wiki+M 	---	 p-value :  0.0095 	---	 Very True
SP-NACHOS 	---	 SP-PubMed 	---	 p-value :  0.0047 	---	 Very True
SP-NACHOS 	---	 BPE-CC100+M 	---	 p-value :  0.001 	---	 Very True
SP-NACHOS 	---	 SP-NACHOS+M 	---	 p-value :  0.0999 	---	 False
SP-NACHOS 	---	 BPE-Wiki 	---	 p-value :  0.0087 	---	 Very True
SP-NACHOS 	---	 BPE-PubMed 	---	 p-value :  0.0001 	---	 Very True
SP-NACHOS 	---	 SP-CC100+M 	---	 p-value :  0.0006 	---	 Very True
SP-NACHOS 	---	 BPE-PubMed+M 	---	 p-value :  0.0 	---	 Very True
SP-NACHOS 	---	 SP-PubMed+M 	---	 p-value :  0.0001 	---	 Very True
SP-NACHOS 	---	 SP-Wiki+M 	---	 p-value :  0.0544 	---	 False
SP-NACHOS 	---	 BPE-CC100 	---	 p-value :  0.0017 	---	 Very True



###diamed|cls|1.0###
SP-NACHOS 	---	 SP-CC100 	---	 p-value :  0.0768 	---	 False
SP-NACHOS 	---	 SP-Wiki 	---	 p-value :  0.0113 	---	 True
SP-NACHOS 	---	 BPE-NACHOS 	---	 p-value :  0.5781 	---	 False
SP-NACHOS 	---	 BPE-NACHOS+M 	---	 p-value :  0.0457 	---	 True
SP-NACHOS 	---	 BPE-Wiki+M 	---	 p-value :  0.0551 	---	 False
SP-NACHOS 	---	 SP-PubMed 	---	 p-value :  0.0018 	---	 Very True
SP-NACHOS 	---	 BPE-CC100+M 	---	 p-value :  0.0393 	---	 True
SP-NACHOS 	---	 SP-NACHOS+M 	---	 p-value :  0.3132 	---	 False
SP-NACHOS 	---	 BPE-Wiki 	---	 p-value :  0.0163 	---	 True
SP-NACHOS 	---	 BPE-PubMed 	---	 p-value :  0.0006 	---	 Very True
SP-NACHOS 	---	 SP-CC100+M 	---	 p-value :  0.0069 	---	 Very True
SP-NACHOS 	---	 BPE-PubMed+M 	---	 p-value :  0.0073 	---	 Very True
SP-NACHOS 	---	 SP-PubMed+M 	---	 p-value :  0.0021 	---	 Very True
SP-NACHOS 	---	 SP-Wiki+M 	---	 p-value :  0.0449 	---	 True
SP-NACHOS 	---	 BPE-CC100 	---	 p-value :  0.047 	---	 True



###pxcorpus|ner|1.0###
SP-NACHOS+M 	---	 SP-CC100 	---	 p-value :  0.5824 	---	 False
SP-NACHOS+M 	---	 SP-Wiki 	---	 p-value :  0.0667 	---	 False
SP-NACHOS+M 	---	 BPE-NACHOS 	---	 p-value :  0.0621 	---	 False
SP-NACHOS+M 	---	 BPE-NACHOS+M 	---	 p-value :  0.3517 	---	 False
SP-NACHOS+M 	---	 SP-NACHOS 	---	 p-value :  0.2935 	---	 False
SP-NACHOS+M 	---	 BPE-Wiki+M 	---	 p-value :  0.0604 	---	 False
SP-NACHOS+M 	---	 SP-PubMed 	---	 p-value :  0.1838 	---	 False
SP-NACHOS+M 	---	 BPE-CC100+M 	---	 p-value :  0.1178 	---	 False
SP-NACHOS+M 	---	 BPE-Wiki 	---	 p-value :  0.438 	---	 False
SP-NACHOS+M 	---	 BPE-PubMed 	---	 p-value :  0.1317 	---	 False
SP-NACHOS+M 	---	 SP-CC100+M 	---	 p-value :  0.1412 	---	 False
SP-NACHOS+M 	---	 BPE-PubMed+M 	---	 p-value :  0.1717 	---	 False
SP-NACHOS+M 	---	 SP-PubMed+M 	---	 p-value :  0.362 	---	 False
SP-NACHOS+M 	---	 SP-Wiki+M 	---	 p-value :  0.2277 	---	 False
SP-NACHOS+M 	---	 BPE-CC100 	---	 p-value :  0.3097 	---	 False



###pxcorpus|cls|1.0###
SP-Wiki+M 	---	 SP-CC100 	---	 p-value :  0.1051 	---	 False
SP-Wiki+M 	---	 SP-Wiki 	---	 p-value :  0.5839 	---	 False
SP-Wiki+M 	---	 BPE-NACHOS 	---	 p-value :  0.8136 	---	 False
SP-Wiki+M 	---	 BPE-NACHOS+M 	---	 p-value :  0.0269 	---	 True
SP-Wiki+M 	---	 SP-NACHOS 	---	 p-value :  0.9422 	---	 False
SP-Wiki+M 	---	 BPE-Wiki+M 	---	 p-value :  0.0086 	---	 Very True
SP-Wiki+M 	---	 SP-PubMed 	---	 p-value :  0.5604 	---	 False
SP-Wiki+M 	---	 BPE-CC100+M 	---	 p-value :  0.0266 	---	 True
SP-Wiki+M 	---	 SP-NACHOS+M 	---	 p-value :  0.1668 	---	 False
SP-Wiki+M 	---	 BPE-Wiki 	---	 p-value :  0.1437 	---	 False
SP-Wiki+M 	---	 BPE-PubMed 	---	 p-value :  0.0443 	---	 True
SP-Wiki+M 	---	 SP-CC100+M 	---	 p-value :  0.4314 	---	 False
SP-Wiki+M 	---	 BPE-PubMed+M 	---	 p-value :  0.3293 	---	 False
SP-Wiki+M 	---	 SP-PubMed+M 	---	 p-value :  0.2512 	---	 False
SP-Wiki+M 	---	 BPE-CC100 	---	 p-value :  0.1062 	---	 False



###deft2019|ner|1.0###
BPE-NACHOS+M 	---	 SP-CC100 	---	 p-value :  0.0245 	---	 True
BPE-NACHOS+M 	---	 SP-Wiki 	---	 p-value :  0.05 	---	 True
BPE-NACHOS+M 	---	 BPE-NACHOS 	---	 p-value :  0.0245 	---	 True
BPE-NACHOS+M 	---	 SP-NACHOS 	---	 p-value :  0.2185 	---	 False
BPE-NACHOS+M 	---	 BPE-Wiki+M 	---	 p-value :  0.0245 	---	 True
BPE-NACHOS+M 	---	 SP-PubMed 	---	 p-value :  0.0245 	---	 True
BPE-NACHOS+M 	---	 BPE-CC100+M 	---	 p-value :  0.0245 	---	 True
BPE-NACHOS+M 	---	 SP-NACHOS+M 	---	 p-value :  0.5696 	---	 False
BPE-NACHOS+M 	---	 BPE-Wiki 	---	 p-value :  0.0245 	---	 True
BPE-NACHOS+M 	---	 BPE-PubMed 	---	 p-value :  0.0245 	---	 True
BPE-NACHOS+M 	---	 SP-CC100+M 	---	 p-value :  0.2512 	---	 False
BPE-NACHOS+M 	---	 BPE-PubMed+M 	---	 p-value :  0.0245 	---	 True
BPE-NACHOS+M 	---	 SP-PubMed+M 	---	 p-value :  0.1762 	---	 False
BPE-NACHOS+M 	---	 SP-Wiki+M 	---	 p-value :  0.0245 	---	 True
BPE-NACHOS+M 	---	 BPE-CC100 	---	 p-value :  0.0245 	---	 True
